City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,sur,22.5667,59.5289,25.72,73,0,5.52,OM,1699214896
135,harbin,45.75,126.65,-3.12,84,100,9.31,CN,1699214896
136,arar,30.9753,41.0381,20.01,45,0,3.09,SA,1699214896
137,aleg,17.0481,-13.9209,33.19,11,0,4.38,MR,1699214896
138,nizhnyaya omka,55.4338,74.9426,-6.08,96,6,2.99,RU,1699214897
139,sola,-13.8833,167.55,26.35,85,100,8.31,VU,1699214897
140,cabedelo,-6.9811,-34.8339,28.37,68,83,5.44,BR,1699214753
141,cole harbour,44.6724,-63.4751,11.09,79,90,1.34,CA,1699214897
142,bardowick,53.3,10.3833,10.81,96,100,5.81,DE,1699214897
143,motueka,-41.1333,173.0167,13.39,84,92,2.07,NZ,1699214725
144,nemuro,43.3236,145.575,10.4,85,52,5.48,JP,1699214898
145,dudinka,69.4058,86.1778,-14.07,97,100,2.68,RU,1699214898
146,port macquarie,-31.4333,152.9167,15.5,80,99,3.0,AU,1699214898
147,fuglafjordur,62.244,-6.814,8.26,88,92,3.74,FO,1699214898
148,papatowai,-46.5619,169.4708,9.95,60,50,0.22,NZ,1699214898
149,moires,35.0532,24.8744,21.73,72,0,1.79,GR,1699214898
150,tarikere,13.7167,75.8167,22.19,89,100,1.5,IN,1699214899
151,iwaki,37.05,140.8833,15.63,95,61,2.16,JP,1699214899
152,savelugu,9.6244,-0.8253,31.07,37,34,2.17,GH,1699214899
153,hithadhoo,-0.6,73.0833,27.02,79,100,6.69,MV,1699214899
154,idri,27.5,13.2667,22.78,18,0,1.94,LY,1699214899
155,petropavlovsk-kamchatsky,53.0452,158.6483,0.81,79,75,5.36,RU,1699214899
156,uturoa,-16.7333,-151.4333,25.34,83,56,5.57,PF,1699214900
157,quellon,-43.1167,-73.6167,7.36,94,100,3.12,CL,1699214900
158,wabrzezno,53.2799,18.9477,9.45,88,100,4.8,PL,1699214900
159,tlahualilo de zaragoza,26.1167,-103.45,24.42,32,100,0.64,MX,1699214900
160,remire-montjoly,4.9167,-52.2667,28.02,78,20,2.06,GF,1699214900
161,upper hutt,-41.1383,175.0502,15.24,97,100,3.84,NZ,1699214684
162,kuju,23.7167,85.5,17.85,53,7,1.51,IN,1699214900
163,itoman,26.1247,127.6694,25.43,90,40,1.54,JP,1699214901
164,howard springs,-12.497,131.047,27.95,79,56,1.06,AU,1699214901
165,belle glade,26.6845,-80.6676,27.79,58,100,5.27,US,1699214868
166,vilyuchinsk,52.9306,158.4028,1.63,73,56,3.09,RU,1699214901
167,ribeira grande,38.5167,-28.7,14.32,72,40,4.02,PT,1699214901
168,isafjordur,66.0755,-23.124,-1.53,88,100,12.08,IS,1699214901
169,viedma,-40.8135,-62.9967,27.43,23,100,3.7,AR,1699214902
170,phek,25.6667,94.5,8.05,99,18,0.69,IN,1699214902
171,neryungri,56.6709,124.6491,-27.53,96,23,1.19,RU,1699214902
172,la'ie,21.6477,-157.9253,28.98,65,13,3.58,US,1699214902
173,avarua,-21.2078,-159.775,24.03,57,40,5.66,CK,1699214902
174,puerto ayacucho,5.6639,-67.6236,31.73,65,90,0.99,VE,1699214902
175,bonthe,7.5264,-12.505,26.67,83,57,2.1,SL,1699214902
176,shemysheyka,52.892,45.3928,7.24,76,100,6.75,RU,1699214903
177,tolanaro,-25.0319,46.9987,22.07,86,100,7.73,MG,1699214903
178,tarawa,1.419,172.984,29.05,79,20,1.03,KI,1699214903
179,gadzhiyevo,69.2551,33.3362,0.52,98,100,6.12,RU,1699214903
180,ilheus,-14.7889,-39.0494,26.57,85,100,3.3,BR,1699214903
181,al hudaydah,14.7978,42.9545,28.8,68,16,5.87,YE,1699214903
182,coquimbo,-29.9533,-71.3436,16.84,68,0,4.5,CL,1699214904
183,masterton,-40.9597,175.6575,14.94,92,98,1.68,NZ,1699214689
184,dunkirk,51.05,2.3667,10.61,42,7,0.45,FR,1699214904
185,coyhaique,-45.5752,-72.0662,13.97,38,20,4.63,CL,1699214904
186,san bartolo,19.1833,-100.05,20.87,46,89,3.16,MX,1699214904
187,golyshmanovo,56.3979,68.3728,-3.18,92,94,3.1,RU,1699214904
188,colonia,50.9333,6.95,11.65,77,75,5.14,DE,1699214828
189,akureyri,65.6835,-18.0878,0.96,86,100,6.69,IS,1699214643
190,kuanda,56.3161,116.0806,-17.85,84,82,1.01,RU,1699214905
191,tura,25.5198,90.2201,17.64,88,0,1.92,IN,1699214905
192,vorgashor,67.5833,63.95,-11.15,98,94,2.66,RU,1699214906
193,juan griego,11.0817,-63.9655,29.94,69,100,5.12,VE,1699214906
194,tubarjal,30.4999,38.216,24.63,38,6,2.91,SA,1699214906
195,luderitz,-26.6481,15.1594,15.26,85,0,5.84,NA,1699214906
196,wailua homesteads,22.0669,-159.378,28.24,70,75,6.17,US,1699214906
197,punta arenas,-53.15,-70.9167,13.06,35,0,14.92,CL,1699214774
198,tadine,-21.55,167.8833,21.46,69,98,5.57,NC,1699214780
199,port douglas,-16.4833,145.4667,23.58,80,97,3.12,AU,1699214907
200,gebeit,21.0667,36.3167,25.8,56,38,4.05,SD,1699214907
